genus,species,subspecies,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,elevationAccuracy,year,gbifID,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,neighbourhood,village,municipality,amenity,hamlet,city,town,building,locality,natural,tourism,ISO3166-2-lvl6,region,leisure,suburb,residential,state_district,man_made,highway,city_district,landuse,township,ISO3166-2-lvl3,isolated_dwelling,shop,ISO3166-2-lvl7,historic,quarter,farm,industrial,farmyard,military,ISO3166-2-lvl5,borough,railway,retail,emergency,healthcare,place,aeroway,office,club,commercial
Sarracenia,purpurea,NA,44.016667,-79.283333,1640,NA,NA,1982,1899328854,"Musselman's Lake, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 7X3, Canada",16487236,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,1810166621,44.0275087,-79.2763501,NA,NA,York Region,Ontario,CA-ON,L4A 7X3,Canada,ca,,NA,NA,Whitchurch-Stouffville,NA,NA,NA,Whitchurch-Stouffville,NA,Musselman's Lake,NA,NA,NA,NA,NA,NA,NA,Golden Horseshoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,31.092273,-83.140175,1647,NA,NA,1991,1990000796,"98, Patten Drive, Lanier County, Georgia, 31645, United States",321729547,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9356496,31.09302,-83.139693,98,Patten Drive,Lanier County,Georgia,US-GA,31645,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,50.389423,-96.559029,1661,NA,NA,2021,3335412176,"Provincial Trunk Highway 59, Rural Municipality of St. Clements, Division No. 13, Manitoba, Canada",212326982,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,479001315,50.39288291249936,-96.56073036936091,NA,Provincial Trunk Highway 59,Division No. 13,Manitoba,CA-MB,NA,Canada,ca,,NA,NA,NA,NA,NA,Rural Municipality of St. Clements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,46.871246,-71.837631,1701,NA,NA,2022,3947423518,"180, Rue des Tulipes, Saint-Raymond, Portneuf, Capitale-Nationale, Québec, G3L 4B1, Canada",11315491,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,1204430320,46.8698813,-71.8365553,180,Rue des Tulipes,Portneuf,Québec,CA-QC,G3L 4B1,Canada,ca,,NA,NA,NA,NA,NA,NA,Saint-Raymond,NA,NA,NA,NA,NA,Capitale-Nationale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,31.245396,-84.048033,1708,NA,NA,1970,3709979639,"Dozier Norman Road, Mitchell County, Georgia, 31784, United States",102601487,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9394217,31.24537414070747,-84.04280610685888,NA,Dozier Norman Road,Mitchell County,Georgia,US-GA,31784,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,psittacina,NA,31.245396,-84.048033,1708,NA,NA,1970,3709965971,"Dozier Norman Road, Mitchell County, Georgia, 31784, United States",102601487,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9394217,31.24537414070747,-84.04280610685888,NA,Dozier Norman Road,Mitchell County,Georgia,US-GA,31784,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,okefenokeensis,30.794543,-82.118034,1777,NA,NA,2018,1993713055,"Doe Bay Road, Charlton County, Georgia, United States",102606753,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9086164,30.795577702918337,-82.117801441201,NA,Doe Bay Road,Charlton County,Georgia,US-GA,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,42.265379,-71.141805,1788,NA,NA,1940,3454993987,"Stony Brook Reservation, Madison Street, Hyde Park, Boston, Suffolk County, Massachusetts, 02136, United States",112608154,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,29859850,42.26088525,-71.13984005286747,NA,Madison Street,Suffolk County,Massachusetts,US-MA,02136,United States,us,,NA,NA,NA,NA,NA,Boston,NA,NA,NA,NA,NA,NA,NA,Stony Brook Reservation,Hyde Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,46.79124,-92.904888,1788,NA,NA,1953,2265397408,"South Shore Drive, Saint Louis County, Minnesota, 55736, United States",107468310,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,18244331,46.78791,-92.908088,NA,South Shore Drive,Saint Louis County,Minnesota,US-MN,55736,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,45.0472,-78.506823,1804,NA,NA,2019,2603460894,"Highland Street, Haliburton, Dysart et al, Haliburton County, Central Ontario, Ontario, K0M 1S0, Canada",114667235,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,33862532,45.04690774334607,-78.50674366265076,NA,Highland Street,Haliburton County,Ontario,CA-ON,K0M 1S0,Canada,ca,,NA,NA,NA,NA,NA,Dysart et al,Haliburton,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,montana,34.958747,-83.23715,1807,NA,NA,1941,3709943185,"3 Forks, Three Forks, Rabun County, Georgia, United States",113216413,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,31275806,34.96095430698906,-83.23838764337565,NA,3 Forks,Rabun County,Georgia,US-GA,NA,United States,us,,NA,NA,NA,NA,Three Forks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,46.340212,-75.167952,1811,NA,NA,2022,3860098450,"Nominingue, Antoine-Labelle, Laurentides, Québec, J0W 1R0, Canada",297827442,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,1490833,46.3938122,-75.0295392,NA,NA,Antoine-Labelle,Québec,CA-QC,J0W 1R0,Canada,ca,,NA,Nominingue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurentides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,45.389814,-92.821151,1811,NA,NA,NA,2265397367,"14497, Moberg Trail, Center City, Chisago County, Minnesota, 55012, United States",327408800,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,18043961,45.389665,-92.821839,14497,Moberg Trail,Chisago County,Minnesota,US-MN,55012,United States,us,,NA,Center City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,47.928372,-84.128267,1849,NA,NA,2020,2641451524,"Unorganized North Algoma, Algoma District, Northeastern Ontario, Ontario, Canada",298920254,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,7594208,47.98565275,-84.33910573306366,NA,NA,Algoma District,Ontario,CA-ON,NA,Canada,ca,,NA,NA,NA,NA,NA,Unorganized North Algoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northeastern Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.36288,-66.232002,1875,NA,NA,2020,2823133182,"Shoreview Road, Central Grove, Digby Municipal District, Digby County, Nova Scotia, B0P 1G0, Canada",145127087,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,169053664,44.36156886948044,-66.23286231200295,NA,Shoreview Road,Digby County,Nova Scotia,CA-NS,B0P 1G0,Canada,ca,,NA,Central Grove,Digby Municipal District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,44.489787,-81.374827,1899,NA,NA,2022,3860294287,"157, Lee Lane, Southampton, Saugeen Shores, Bruce County, Southwestern Ontario, Ontario, N0H 2L0, Canada",21854598,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,113895955,44.489826319086916,-81.37478306034345,157,Lee Lane,Bruce County,Ontario,CA-ON,N0H 2L0,Canada,ca,,NA,NA,Saugeen Shores,NA,NA,NA,Southampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southwestern Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,minor,31.624215,-83.763618,1899,NA,NA,1967,3709985601,"1201, Young Blood Road, Turner County, Georgia, 31714, United States",317801072,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9496805,31.624085,-83.764081,1201,Young Blood Road,Turner County,Georgia,US-GA,31714,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,psittacina,NA,31.624215,-83.763618,1899,NA,NA,1967,3709979684,"1201, Young Blood Road, Turner County, Georgia, 31714, United States",317801072,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9496805,31.624085,-83.764081,1201,Young Blood Road,Turner County,Georgia,US-GA,31714,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,31.624215,-83.763618,1899,NA,NA,1967,3709808853,"1201, Young Blood Road, Turner County, Georgia, 31714, United States",317801072,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9496805,31.624085,-83.764081,1201,Young Blood Road,Turner County,Georgia,US-GA,31714,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,31.510909,-83.761926,1946,NA,NA,1948,3709942662,"2501, US 82;GA 520, Sumner, Worth County, Georgia, 31781, United States",315264783,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,228767381,31.510682,-83.761304,2501,US 82;GA 520,Worth County,Georgia,US-GA,31781,United States,us,,NA,NA,NA,NA,Sumner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,46.213386,-74.596449,1953,NA,NA,2018,3759776665,"Chemin de l'Ermite, Tremblant, Mont-Tremblant, Les Laurentides, Laurentides, Québec, J8E 1E1, Canada",152589258,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,198243030,46.2165707,-74.5932417,NA,Chemin de l'Ermite,Les Laurentides,Québec,CA-QC,J8E 1E1,Canada,ca,,Tremblant,NA,NA,NA,NA,NA,Mont-Tremblant,NA,NA,NA,NA,NA,Laurentides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,52.412472,-56.101685,1953,NA,NA,2009,2574129727,"Labrador, Newfoundland and Labrador, Canada",298833186,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,9610205,55.911486100000005,-61.70191480532777,NA,NA,NA,Newfoundland and Labrador,CA-NL,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Labrador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,47.730211,-64.743225,1953,NA,NA,2016,1880590601,"Piste Cyclable Shippagan, Shippagan, Shippagan Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, E8S 1T3, Canada",239682422,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,672525495,47.7299935,-64.7423942,NA,Piste Cyclable Shippagan,Shippagan Parish,New Brunswick / Nouveau-Brunswick,CA-NB,E8S 1T3,Canada,ca,,NA,NA,NA,NA,NA,NA,Shippagan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,minor,30.957677,-83.120562,1960,NA,NA,1988,3709966698,"518, Johnson Road, Lanier County, Georgia, 31641, United States",321729847,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9356373,30.956963047654828,-83.12043371151645,518,Johnson Road,Lanier County,Georgia,US-GA,31641,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,45.178186,-79.213108,1995,NA,NA,2020,2851198198,"Lake of Bays Township, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",298828837,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,7473981,45.3309935,-79.0114988,NA,NA,Muskoka District,Ontario,CA-ON,NA,Canada,ca,,NA,NA,District Municipality of Muskoka,NA,NA,NA,NA,NA,Lake of Bays Township,NA,NA,NA,NA,NA,NA,NA,Central Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,52.234546,-85.16877,1998,NA,NA,2022,3874139434,"Unorganized Kenora District, Kenora District, Northwestern Ontario, Ontario, Canada",299086659,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,7660852,52.9312176,-85.85237998667819,NA,NA,Kenora District,Ontario,CA-ON,NA,Canada,ca,,NA,NA,NA,NA,NA,Unorganized Kenora District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwestern Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,55.105086,-114.156235,2000,NA,NA,1987,2984819303,"Northern Woods & Water Route, Municipal District of Lesser Slave River, Alberta, Canada",111979403,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,27239772,55.10917636740603,-114.15247130664058,NA,Northern Woods & Water Route,Municipal District of Lesser Slave River,Alberta,CA-AB,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,41.9871,-79.55834,2000,NA,NA,1947,2859338860,"State Game Lands Number 197, Stateline Road, Columbus Township, Warren County, Pennsylvania, 16402, United States",298576929,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,5614977,41.9895186,-79.55999244396219,NA,Stateline Road,Warren County,Pennsylvania,US-PA,16402,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,State Game Lands Number 197,NA,NA,NA,NA,NA,NA,NA,Columbus Township,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,47.195319,-68.916707,2000,NA,NA,1978,473541161,"205, Saint-Francois Parish, Madawaska County, New Brunswick / Nouveau-Brunswick, Canada",132895645,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,119324341,47.195644711605205,-68.91636977320938,NA,205,Saint-Francois Parish,New Brunswick / Nouveau-Brunswick,CA-NB,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,46.2819,-73.552,2000,NA,NA,1928,473431303,"Rue Selander, Saint-Jean-de-Matha, Matawinie, Lanaudière, Québec, Canada",124892922,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,85631558,46.28138584152614,-73.55205280586243,NA,Rue Selander,Matawinie,Québec,CA-QC,NA,Canada,ca,,NA,Saint-Jean-de-Matha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lanaudière,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,45.9656,-74.3278,2000,NA,NA,1965,473431225,"Camping Saint-Adolphe, Corbeau (17), Saint-Adolphe-d'Howard, Les Pays-d'en-Haut, Laurentides, Québec, J0T 2B0, Canada",81630733,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,8048289510,45.9651783,-74.3279717,NA,Corbeau (17),Les Pays-d'en-Haut,Québec,CA-QC,J0T 2B0,Canada,ca,,NA,Saint-Adolphe-d'Howard,NA,NA,NA,NA,NA,NA,NA,NA,Camping Saint-Adolphe,NA,Laurentides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,53.4661,-77.4619,2000,NA,NA,1974,473430963,"ᐄᔨᔨᐤ ᐊᔅᒌ ᒉᐃᒥᔅ ᐯᐃ Eeyou Istchee Baie-James, Jamésie, Nord-du-Québec, Québec, Canada",298731335,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,8118162,51.9633019,-77.13924697094603,NA,NA,Jamésie,Québec,CA-QC,NA,Canada,ca,,NA,NA,ᐄᔨᔨᐤ ᐊᔅᒌ ᒉᐃᒥᔅ ᐯᐃ Eeyou Istchee Baie-James,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nord-du-Québec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,41.285291,-75.077399,2014,NA,NA,1890,3865098920,"Waterfowl Propagation Area, Brewster Road, Pecks Pond, Porter Township, Pike County, Pennsylvania, 18425, United States",80526025,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7824703442,41.2874348,-75.0764814,NA,Brewster Road,Pike County,Pennsylvania,US-PA,18425,United States,us,,NA,NA,NA,NA,Pecks Pond,Porter Township,NA,NA,NA,NA,NA,NA,NA,Waterfowl Propagation Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.264325,-78.469962,2023,NA,NA,1989,2465322936,"Mount Pleasant Road, Cavan-Monaghan, Peterborough County, Central Ontario, Ontario, K9J 0G5, Canada",114645047,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,33944413,44.266823750551666,-78.47056885207786,NA,Mount Pleasant Road,Peterborough County,Ontario,CA-ON,K9J 0G5,Canada,ca,,NA,NA,NA,NA,NA,Cavan-Monaghan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,55.088433,-110.433733,2040,NA,NA,2017,3330872513,"Municipal District of Bonnyville, Alberta, Canada",298716661,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,8438163,54.4316317,-110.5826304,NA,NA,Municipal District of Bonnyville,Alberta,CA-AB,NA,Canada,ca,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,31.027956,-85.87069,2062,NA,NA,1987,1990000893,"Geneva Levee, Geneva, Geneva County, Alabama, 36340, United States",101808630,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,7695062,31.0303528,-85.87069,NA,Geneva Levee,Geneva County,Alabama,US-AL,36340,United States,us,,NA,NA,NA,NA,NA,NA,Geneva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,psittacina,NA,32.328231,-82.3,2068,NA,NA,1962,3709809074,"Harrell Cemetary Road, Emanuel County, Georgia, 30436, United States",102179904,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9203733,32.32714940362311,-82.29945190468457,NA,Harrell Cemetary Road,Emanuel County,Georgia,US-GA,30436,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,minor,31.178227,-83.25,2068,NA,NA,1974,3709805032,"County Road 71, Berrien County, Georgia, 31639, United States",102298471,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9025747,31.181489,-83.25483,NA,County Road 71,Berrien County,Georgia,US-GA,31639,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.488886,-88.264431,2069,NA,NA,1963,3056574419,"Mobile County, Alabama, 36568, United States",101572356,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,7868844,30.487801,-88.264473,NA,NA,Mobile County,Alabama,US-AL,36568,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,50.427308,-96.554585,2104,NA,NA,2018,3302319319,"Rural Municipality of St. Clements, Division No. 13, Manitoba, Canada",152349971,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,195241312,50.42877591726435,-96.55714470614387,NA,NA,Division No. 13,Manitoba,CA-MB,NA,Canada,ca,,NA,NA,NA,NA,NA,Rural Municipality of St. Clements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,32.493561,-81.254535,2123,NA,NA,1953,3709981303,"Sisters Ferry Road East, Clyo, Effingham County, Georgia, United States",102519946,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,9200290,32.491454452351086,-81.2522115651967,NA,Sisters Ferry Road East,Effingham County,Georgia,US-GA,NA,United States,us,,NA,NA,NA,NA,Clyo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,purpurea,47.334197,-93.787874,2179,NA,NA,1939,2265397187,"The Bait Shop, Main Avenue East, Deer River, Itasca County, Minnesota, United States",245994169,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,706509679,47.3331003,-93.78863745,NA,Main Avenue East,Itasca County,Minnesota,US-MN,NA,United States,us,,NA,Deer River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Bait Shop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
